axis,value,scene,layer,readout,result
A_Care_Compassion,0,S_vulnerable,S7,goal:affiliation,0.3988428454475982
A_Care_Compassion,0,S_vulnerable,S7,goal:control,0.35464903213775856
A_Care_Compassion,0,S_vulnerable,S7,goal:exploration,0.3263309078291568
A_Care_Compassion,0,S_vulnerable,S7,goal:wealth,0.1398095446630931
A_Care_Compassion,0,S_vulnerable,S7,goal:status,0.05268446083602599
A_Care_Compassion,0,S_vulnerable,S7,goal:safety,0
A_Care_Compassion,0,S_vulnerable,S7,goal:order,0
A_Care_Compassion,0,S_vulnerable,S7,goal:rest,0.03493078128860126
A_Care_Compassion,0,S_vulnerable,S7,util:reduce_self_threat,0.07851131817183608
A_Care_Compassion,0,S_vulnerable,S7,util:stabilize_other,0.3988428454475982
A_Care_Compassion,0,S_vulnerable,S7,util:verify_claim,0.15
A_Care_Compassion,0,S_vulnerable,S7,util:preserve_cooperation,0.3988428454475982
A_Care_Compassion,0,S_vulnerable,S7,util:confront_threat_source,0.15
A_Care_Compassion,0,S_vulnerable,S7,util:restore_self_control,0.15
A_Care_Compassion,0,S_vulnerable,S7,util:maintain_trust_signal,0.3988428454475982
A_Care_Compassion,0,S_vulnerable,S7,util:deescalate_interaction,0.15
A_Care_Compassion,0,S_vulnerable,S7,util:protect_status_position,0.08867855368317644
A_Care_Compassion,0,S_vulnerable,S7,util:recover_resources,0.15
A_Care_Compassion,0,S_vulnerable,S7,util:maintain_contact_channel,0.15
A_Care_Compassion,0,S_vulnerable,S7,util:follow_order,0.06367855368317643
A_Care_Compassion,0,S_vulnerable,S7,util:maintain_cohesion,0.4738428454475982
A_Care_Compassion,0,S_vulnerable,S7,util:maintain_legitimacy,0.15117855368317645
A_Care_Compassion,0,S_vulnerable,S7,util:assert_autonomy,0
A_Care_Compassion,0,S_vulnerable,S7,util:protect_self,0.04609493592750626
A_Care_Compassion,0,S_vulnerable,S7,util:relief_from_stress,0.017301713909464084
A_Care_Compassion,0,S_vulnerable,S7,util:help_wounded,0.3988428454475982
A_Care_Compassion,0,S_vulnerable,S7,util:immediate_compliance,0.32166379291046754
A_Care_Compassion,0,S_vulnerable,S7,util:go_to_surface,0.2665801751547973
