axis,value,scene,layer,readout,result,seed
A_Care_Compassion,0,S_defection,S8,act:aff:loot:A,1,1
A_Care_Compassion,0,S_defection,OUTCOME,outcome:i_defect,1,1
A_Care_Compassion,0,S_defection,OUTCOME,outcome_self,5,1
A_Care_Compassion,0,S_defection,OUTCOME,outcome_other,0,1
A_Care_Compassion,0,S_defection,OUTCOME,coop,0,1
A_Care_Compassion,0,S_defection,OUTCOME,unclassified,0,1
A_Care_Compassion,0,S_defection,S8,act:aff:negotiate:A:B,1,2
A_Care_Compassion,0,S_defection,OUTCOME,outcome:both_cooperate,1,2
A_Care_Compassion,0,S_defection,OUTCOME,outcome_self,3,2
A_Care_Compassion,0,S_defection,OUTCOME,outcome_other,3,2
A_Care_Compassion,0,S_defection,OUTCOME,coop,1,2
A_Care_Compassion,0,S_defection,OUTCOME,unclassified,0,2
A_Care_Compassion,0,S_defection,S8,act:con:challenge:A:B,1,3
A_Care_Compassion,0,S_defection,OUTCOME,outcome:i_defect,1,3
A_Care_Compassion,0,S_defection,OUTCOME,outcome_self,5,3
A_Care_Compassion,0,S_defection,OUTCOME,outcome_other,0,3
A_Care_Compassion,0,S_defection,OUTCOME,coop,0,3
A_Care_Compassion,0,S_defection,OUTCOME,unclassified,0,3
A_Care_Compassion,0,S_defection,S8,act:cog:monologue:A,1,4
A_Care_Compassion,0,S_defection,OUTCOME,outcome:no_engagement,1,4
A_Care_Compassion,0,S_defection,OUTCOME,outcome_self,0,4
A_Care_Compassion,0,S_defection,OUTCOME,outcome_other,0,4
A_Care_Compassion,0,S_defection,OUTCOME,coop,0,4
A_Care_Compassion,0,S_defection,OUTCOME,unclassified,0,4
A_Care_Compassion,0,S_defection,S8,act:cog:monologue:A,1,5
A_Care_Compassion,0,S_defection,OUTCOME,outcome:no_engagement,1,5
A_Care_Compassion,0,S_defection,OUTCOME,outcome_self,0,5
A_Care_Compassion,0,S_defection,OUTCOME,outcome_other,0,5
A_Care_Compassion,0,S_defection,OUTCOME,coop,0,5
A_Care_Compassion,0,S_defection,OUTCOME,unclassified,0,5
A_Care_Compassion,0,S_defection,S8,act:cog:investigate:A:B,1,6
