axis,value,scene,layer,readout,result,seed
A_Liberty_Autonomy,0,S_coercive_order@pamV2off,S8,act:aff:guard:A:B,1,1
A_Liberty_Autonomy,0,S_coercive_order@pamV2off,OUTCOME,outcome:complied,1,1
A_Liberty_Autonomy,0,S_coercive_order@pamV2off,OUTCOME,outcome_self,1,1
A_Liberty_Autonomy,0,S_coercive_order@pamV2off,OUTCOME,outcome_other,3,1
A_Liberty_Autonomy,0,S_coercive_order@pamV2off,OUTCOME,coop,0,1
A_Liberty_Autonomy,0,S_coercive_order@pamV2off,OUTCOME,unclassified,0,1
A_Liberty_Autonomy,0,S_coercive_order@pamV2off,S8,act:aff:negotiate:A:B,1,2
A_Liberty_Autonomy,0,S_coercive_order@pamV2off,OUTCOME,outcome:negotiated_terms,1,2
A_Liberty_Autonomy,0,S_coercive_order@pamV2off,OUTCOME,outcome_self,2,2
A_Liberty_Autonomy,0,S_coercive_order@pamV2off,OUTCOME,outcome_other,2,2
A_Liberty_Autonomy,0,S_coercive_order@pamV2off,OUTCOME,coop,0,2
A_Liberty_Autonomy,0,S_coercive_order@pamV2off,OUTCOME,unclassified,0,2
A_Liberty_Autonomy,0,S_coercive_order@pamV2off,S8,act:cog:observe_target:A:B,1,3
A_Liberty_Autonomy,0,S_coercive_order@pamV2off,OUTCOME,outcome:evaded,1,3
A_Liberty_Autonomy,0,S_coercive_order@pamV2off,OUTCOME,outcome_self,0,3
A_Liberty_Autonomy,0,S_coercive_order@pamV2off,OUTCOME,outcome_other,0,3
A_Liberty_Autonomy,0,S_coercive_order@pamV2off,OUTCOME,coop,0,3
A_Liberty_Autonomy,0,S_coercive_order@pamV2off,OUTCOME,unclassified,0,3
A_Liberty_Autonomy,0,S_coercive_order@pamV2off,S8,act:aff:ask_info:A:B,1,4
A_Liberty_Autonomy,0,S_coercive_order@pamV2off,OUTCOME,outcome:negotiated_terms,1,4
A_Liberty_Autonomy,0,S_coercive_order@pamV2off,OUTCOME,outcome_self,2,4
A_Liberty_Autonomy,0,S_coercive_order@pamV2off,OUTCOME,outcome_other,2,4
A_Liberty_Autonomy,0,S_coercive_order@pamV2off,OUTCOME,coop,0,4
A_Liberty_Autonomy,0,S_coercive_order@pamV2off,OUTCOME,unclassified,0,4
A_Liberty_Autonomy,0,S_coercive_order@pamV2off,S8,act:aff:ask_info:A:B,1,5
A_Liberty_Autonomy,0,S_coercive_order@pamV2off,OUTCOME,outcome:negotiated_terms,1,5
A_Liberty_Autonomy,0,S_coercive_order@pamV2off,OUTCOME,outcome_self,2,5
A_Liberty_Autonomy,0,S_coercive_order@pamV2off,OUTCOME,outcome_other,2,5
A_Liberty_Autonomy,0,S_coercive_order@pamV2off,OUTCOME,coop,0,5
A_Liberty_Autonomy,0,S_coercive_order@pamV2off,OUTCOME,unclassified,0,5
A_Liberty_Autonomy,0,S_coercive_order@pamV2off,S8,act:cog:investigate:A:B,1,6
A_Liberty_Autonomy,0,S_coercive_order@pamV2off,OUTCOME,outcome:evaded,1,6
A_Liberty_Autonomy,0,S_coercive_order@pamV2off,OUTCOME,outcome_self,0,6
